#,First Name,Last Name,Gender,Bloof Group,Date of Birth,Passport Number,NRIC Number,Religion,Race,Mobile Number,Country,State/Province,City,Zip/Postal Code,Address 1,Address 2,Academic Year,Register Number,Roll Number,Admission Date,Grade,Class,Session,Semester,Email,Password,Confirm Password,Father Name,Mother Name,Guardian Name,Guardian Relation,School Name,Qualification,Remarks
30,光雄,小川,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,30,2022-2023,BR0-022,872388923,27-03-2023,1年,2組,Morning,Semester 30,s6808532@gmail.com,12345678,12345678,剛志,,,,KMHHS,First,Good
31,剛,前田,Female,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,31,2022-2023,BR0-022,872388923,27-03-2023,1年,2組,Morning,Semester 31,s8935922@gmail.com,12345678,12345678,信一,,,,KMHHS,First,Good
32,正義,岡田,Female,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,32,2022-2023,BR0-022,872388923,27-03-2023,1年,2組,Morning,Semester 32,s7962897@gmail.com,12345678,12345678,麗美,,,,KMHHS,First,Good
33,幸夫,長谷川,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,33,2022-2023,BR0-022,872388923,27-03-2023,1年,2組,Morning,Semester 33,s8163361@gmail.com,12345678,12345678,理紗,,,,KMHHS,First,Good
34,繁,藤田,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,34,2022-2023,BR0-022,872388923,27-03-2023,1年,2組,Morning,Semester 34,s9319648@gmail.com,12345678,12345678,翔太,,,,KMHHS,First,Good
35,一,後藤,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,35,2022-2023,BR0-022,872388923,27-03-2023,1年,2組,Morning,Semester 35,s8240515@gmail.com,12345678,12345678,祐樹,,,,KMHHS,First,Good
36,仁,近藤,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,36,2022-2023,BR0-022,872388923,27-03-2023,1年,2組,Morning,Semester 36,s7663377@gmail.com,12345678,12345678,俊哉,,,,KMHHS,First,Good
37,和彦,村上,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,37,2022-2023,BR0-022,872388923,27-03-2023,1年,2組,Morning,Semester 37,s8449863@gmail.com,12345678,12345678,健司,,,,KMHHS,First,Good
38,利夫,遠藤,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,38,2022-2023,BR0-022,872388923,27-03-2023,1年,2組,Morning,Semester 38,s7692486@gmail.com,12345678,12345678,拓,,,,KMHHS,First,Good
39,正人,青木,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,39,2022-2023,BR0-022,872388923,27-03-2023,1年,2組,Morning,Semester 39,s8932409@gmail.com,12345678,12345678,知広,,,,KMHHS,First,Good
40,悟,坂本,Female,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,40,2022-2023,BR0-022,872388923,27-03-2023,1年,2組,Morning,Semester 40,s7060714@gmail.com,12345678,12345678,広子,,,,KMHHS,First,Good
41,武夫,斉藤,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,41,2022-2023,BR0-022,872388923,27-03-2023,1年,2組,Morning,Semester 41,s8636912@gmail.com,12345678,12345678,真美,,,,KMHHS,First,Good
42,正治,福田,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,42,2022-2023,BR0-022,872388923,27-03-2023,1年,2組,Morning,Semester 42,s13523251@gmail.com,12345678,12345678,ようこ,,,,KMHHS,First,Good
43,文夫,太田,Female,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,43,2022-2023,BR0-022,872388923,27-03-2023,1年,2組,Morning,Semester 43,s8697832@gmail.com,12345678,12345678,宏明,,,,KMHHS,First,Good
44,孝一,西村,Female,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,44,2022-2023,BR0-022,872388923,27-03-2023,1年,2組,Morning,Semester 44,s4498850@gmail.com,12345678,12345678,彩,,,,KMHHS,First,Good
45,誠一,藤井,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,45,2022-2023,BR0-022,872388923,27-03-2023,1年,2組,Morning,Semester 45,s9879916@gmail.com,12345678,12345678,俊太郎,,,,KMHHS,First,Good
46,猛,金子,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,46,2022-2023,BR0-022,872388923,27-03-2023,1年,2組,Morning,Semester 46,s8636919@gmail.com,12345678,12345678,美穂,,,,KMHHS,First,Good
47,久,岡本,Female,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,47,2022-2023,BR0-022,872388923,27-03-2023,1年,2組,Morning,Semester 47,s9906230@gmail.com,12345678,12345678,和宏,,,,KMHHS,First,Good
48,英夫,藤原,Female,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,48,2022-2023,BR0-022,872388923,27-03-2023,1年,2組,Morning,Semester 48,s6945831@gmail.com,12345678,12345678,茂樹,,,,KMHHS,First,Good
49,洋,中野,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,49,2022-2023,BR0-022,872388923,27-03-2023,1年,2組,Morning,Semester 49,s9670060@gmail.com,12345678,12345678,剛,,,,KMHHS,First,Good
50,和雄,三浦,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,50,2022-2023,BR0-022,872388923,27-03-2023,1年,2組,Morning,Semester 50,s12871131@gmail.com,12345678,12345678,孝治,,,,KMHHS,First,Good
51,彰,原田,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,51,2022-2023,BR0-022,872388923,27-03-2023,1年,2組,Morning,Semester 51,s3789004@gmail.com,12345678,12345678,誠,,,,KMHHS,First,Good
52,俊夫,中川,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,52,2022-2023,BR0-022,872388923,27-03-2023,1年,2組,Morning,Semester 52,s8302895@gmail.com,12345678,12345678,哲也,,,,KMHHS,First,Good
53,健治,松田,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,53,2022-2023,BR0-022,872388923,27-03-2023,1年,2組,Morning,Semester 53,s6456734@gmail.com,12345678,12345678,章代,,,,KMHHS,First,Good
54,均,竹内,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,54,2022-2023,BR0-022,872388923,27-03-2023,1年,2組,Morning,Semester 54,s7194004@gmail.com,12345678,12345678,泉,,,,KMHHS,First,Good
55,四郎,小野,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,55,2022-2023,BR0-022,872388923,27-03-2023,1年,2組,Morning,Semester 55,s6849136@gmail.com,12345678,12345678,有加,,,,KMHHS,First,Good
56,俊一,田村,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,56,2022-2023,BR0-022,872388923,27-03-2023,1年,2組,Morning,Semester 56,s7191847@gmail.com,12345678,12345678,良宏,,,,KMHHS,First,Good
57,俊雄,中山,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,57,2022-2023,BR0-022,872388923,27-03-2023,1年,2組,Morning,Semester 57,s6153074@gmail.com,12345678,12345678,めぐみ,,,,KMHHS,First,Good
58,毅,和田,Female,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,58,2022-2023,BR0-022,872388923,27-03-2023,1年,2組,Morning,Semester 58,s7208014@gmail.com,12345678,12345678,正臣,,,,KMHHS,First,Good
59,義一,石田,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,59,2022-2023,BR0-022,872388923,27-03-2023,1年,2組,Morning,Semester 59,s7063651@gmail.com,12345678,12345678,晃,,,,KMHHS,First,Good
60,力,森田,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,60,2022-2023,BR0-022,872388923,27-03-2023,1年,3組,Morning,Semester 60,s4560996@gmail.com,12345678,12345678,和輝,,,,KMHHS,First,Good
61,修一,上田,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,61,2022-2023,BR0-022,872388923,27-03-2023,1年,3組,Morning,Semester 61,s7064521@gmail.com,12345678,12345678,憲,,,,KMHHS,First,Good
62,政雄,原,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,62,2022-2023,BR0-022,872388923,27-03-2023,1年,3組,Morning,Semester 62,s9707695@gmail.com,12345678,12345678,忠則,,,,KMHHS,First,Good
63,正行,内田,Female,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,63,2022-2023,BR0-022,872388923,27-03-2023,1年,3組,Morning,Semester 63,s4504220@gmail.com,12345678,12345678,里恵,,,,KMHHS,First,Good
64,肇,柴田,Female,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,64,2022-2023,BR0-022,872388923,27-03-2023,1年,3組,Morning,Semester 64,s9879875@gmail.com,12345678,12345678,涼,,,,KMHHS,First,Good
65,三男,酒井,Female,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,65,2022-2023,BR0-022,872388923,27-03-2023,1年,3組,Morning,Semester 65,s9681021@gmail.com,12345678,12345678,靖子,,,,KMHHS,First,Good
66,秀樹,宮崎,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,66,2022-2023,BR0-022,872388923,27-03-2023,1年,3組,Morning,Semester 66,s12833456@gmail.com,12345678,12345678,翼,,,,KMHHS,First,Good
67,信雄,横山,Female,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,67,2022-2023,BR0-022,872388923,27-03-2023,1年,3組,Morning,Semester 67,s9879892@gmail.com,12345678,12345678,萌,,,,KMHHS,First,Good
68,秀男,高木,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,68,2022-2023,BR0-022,872388923,27-03-2023,1年,3組,Morning,Semester 68,s7172919@gmail.com,12345678,12345678,直人,,,,KMHHS,First,Good
69,勝利,安藤,Female,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,69,2022-2023,BR0-022,872388923,27-03-2023,1年,3組,Morning,Semester 69,s10544482@gmail.com,12345678,12345678,甫,,,,KMHHS,First,Good
70,直樹,宮本,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,70,2022-2023,BR0-022,872388923,27-03-2023,1年,3組,Morning,Semester 70,s10545720@gmail.com,12345678,12345678,千尋,,,,KMHHS,First,Good
71,浩一,大野,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,71,2022-2023,BR0-022,872388923,27-03-2023,1年,3組,Morning,Semester 71,s10545721@gmail.com,12345678,12345678,愛実,,,,KMHHS,First,Good
72,真一,小島,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,72,2022-2023,BR0-022,872388923,27-03-2023,1年,3組,Morning,Semester 72,s10546510@gmail.com,12345678,12345678,誠,,,,KMHHS,First,Good
73,浩二,谷口,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,73,2022-2023,BR0-022,872388923,27-03-2023,1年,3組,Morning,Semester 73,s10546607@gmail.com,12345678,12345678,剛,,,,KMHHS,First,Good
74,武男,今井,Female,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,74,2022-2023,BR0-022,872388923,27-03-2023,1年,3組,Morning,Semester 74,s10546738@gmail.com,12345678,12345678,麻美,,,,KMHHS,First,Good
75,正彦,工藤,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,75,2022-2023,BR0-022,872388923,27-03-2023,1年,3組,Morning,Semester 75,s10616680@gmail.com,12345678,12345678,彰子,,,,KMHHS,First,Good
76,順一,高田,Female,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,76,2022-2023,BR0-022,872388923,27-03-2023,1年,3組,Morning,Semester 76,s10405134@gmail.com,12345678,12345678,啓子,,,,KMHHS,First,Good
77,久男,増田,Female,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,77,2022-2023,BR0-022,872388923,27-03-2023,1年,3組,Morning,Semester 77,s10545670@gmail.com,12345678,12345678,良夫,,,,KMHHS,First,Good
78,利男,丸山,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,78,2022-2023,BR0-022,872388923,27-03-2023,1年,3組,Morning,Semester 78,s10525524@gmail.com,12345678,12345678,喜久,,,,KMHHS,First,Good
79,潔,杉山,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,79,2022-2023,BR0-022,872388923,27-03-2023,1年,3組,Morning,Semester 79,s10616476@gmail.com,12345678,12345678,栄治,,,,KMHHS,First,Good
80,義男,村田,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,80,2022-2023,BR0-022,872388923,27-03-2023,1年,3組,Morning,Semester 80,s10547736@gmail.com,12345678,12345678,綾,,,,KMHHS,First,Good
81,新一,大塚,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,81,2022-2023,BR0-022,872388923,27-03-2023,1年,3組,Morning,Semester 81,s10547857@gmail.com,12345678,12345678,陽平,,,,KMHHS,First,Good
82,敏,新井,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,82,2022-2023,BR0-022,872388923,27-03-2023,1年,3組,Morning,Semester 82,s10547895@gmail.com,12345678,12345678,泰子,,,,KMHHS,First,Good
83,英一,小山,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,83,2022-2023,BR0-022,872388923,27-03-2023,1年,3組,Morning,Semester 83,s10396190@gmail.com,12345678,12345678,恵里香,,,,KMHHS,First,Good
84,康夫,平野,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,84,2022-2023,BR0-022,872388923,27-03-2023,1年,3組,Morning,Semester 84,s10548538@gmail.com,12345678,12345678,敬之,,,,KMHHS,First,Good
85,聡,藤本,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,85,2022-2023,BR0-022,872388923,27-03-2023,1年,3組,Morning,Semester 85,s10548548@gmail.com,12345678,12345678,奈津子,,,,KMHHS,First,Good
86,孝夫,河野,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,86,2022-2023,BR0-022,872388923,27-03-2023,1年,3組,Morning,Semester 86,s10467933@gmail.com,12345678,12345678,好美,,,,KMHHS,First,Good
87,幸子,上野,Male,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,87,2022-2023,BR0-022,872388923,27-03-2023,1年,3組,Morning,Semester 87,s10443085@gmail.com,12345678,12345678,洋祐,,,,KMHHS,First,Good
88,隆夫,野口,Female,,27-03-1992,8787787812,12345678,仏教,日本人,123456789,Malaysia,Kuala Lumpur,Kuala Lumpur,81200,MontKiara,88,2022-2023,BR0-022,872388923,27-03-2023,1年,3組,Morning,Semester 88,s10548693@gmail.com,12345678,12345678,純,,,,KMHHS,First,Good
